AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTUTA 4G,COBERTURA LTE,COBERTURA 5G
2016,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,68,SANTANDER,68679.0,SAN GIL,S,68679001.0,SAN GIL,S,S,S,N,N,N
2018,3,AVANTEL S.A.S,27,CHOCÓ,27491.0,NÓVITA,S,27491001.0,NÓVITA,N,N,N,N,N,N
2016,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,5,ANTIOQUIA,5480.0,MUTATÁ,S,5480001.0,MUTATÁ,S,S,S,N,N,N
2022,3,COLOMBIA MOVIL  S.A ESP,76,VALLE DEL CAUCA,76113.0,BUGALAGRANDE,S,76113000.0,BUGALAGRANDE,S,S,S,S,N,N
2021,3,PARTNERS TELECOM COLOMBIA SAS,86,PUTUMAYO,86001.0,MOCOA,N,0.0,SIN CENTRO POBLADO,N,N,N,S,N,N
2018,3,COMUNICACION CELULAR S A COMCEL S A,54,NORTE DE SANTANDER,54125.0,CÁCOTA,N,0.0,ICOTA,N,N,N,N,N,N
2021,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,19,CAUCA,19622.0,ROSAS,S,19622000.0,ROSAS,S,S,N,N,N,N
2018,3,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,47555.0,PLATO,N,47555020.0,LOS POZOS,N,N,N,N,N,N
2019,1,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76318.0,GUACARÍ,N,76318011.0,CANANGUÁ,N,N,N,N,N,N
2023,1,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76622.0,ROLDANILLO,S,76622000.0,ROLDANILLO,S,S,S,S,N,N
2021,2,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25817.0,TOCANCIPÁ,N,25817020.0,BUENOS AIRES,S,S,S,S,N,N
2021,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,5,ANTIOQUIA,5034.0,ANDES,S,5034001.0,ANDES,S,S,S,N,S,N
2018,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,5,ANTIOQUIA,5656.0,SAN JERÓNIMO,S,5656001.0,SAN JERÓNIMO,S,S,N,N,S,N
2020,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,5,ANTIOQUIA,5887.0,YARUMAL,S,5887001.0,YARUMAL,N,N,N,N,S,N
2019,4,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,52835.0,TUMACO - SAN ANDRES DE TUMACO,N,52835160.0,CANDELILLA,S,S,S,N,S,N
2022,3,COLOMBIA MOVIL  S.A ESP,18,CAQUETA,18001.0,FLORENCIA,N,18001005.0,SANTANA LAS HERMOSAS,N,N,N,S,N,N
2019,3,COMUNICACION CELULAR S A COMCEL S A,5,ANTIOQUIA,5873.0,VIGÍA DEL FUERTE,N,5873007.0,BUCHADO,N,N,N,N,N,N
2022,1,AVANTEL S.A.S,94,GUAINÍA,94001.0,INÍRIDA,S,94001000.0,INÍRIDA,S,S,S,S,N,N
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,44,LA GUAJIRA,44847.0,URIBIA,N,44847003.0,CABO DE LA VELA,N,S,N,N,N,N
2021,2,PARTNERS TELECOM COLOMBIA SAS,18,CAQUETA,18753.0,SAN VICENTE DEL CAGUÁN,S,18753000.0,SAN VICENTE DEL CAGUÁN,N,S,S,N,N,N
2018,3,AVANTEL S.A.S,13,BOLÍVAR,13600.0,RÍO VIEJO,S,13600001.0,RÍO VIEJO,N,N,N,N,N,N
